No.,name,エリア,Latitude,Longitude,区分,googlemaplink,コメント,ジオパーク公式サイト
1,白滝,北海道,43.88652755,143.1928992,日本ジオパーク,"https://www.google.com/maps/place/%E9%81%A0%E8%BB%BD%E7%94%BA%E7%99%BD%E6%BB%9D%E3%82%B8%E3%82%AA%E3%83%91%E3%83%BC%E3%82%AF%E4%BA%A4%E6%B5%81%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC/@43.8782957,143.1626969,14.02z/data=!4m6!3m5!1s0x5f0d47f901ebbee7:0xf246ba703f406882!8m2!3d43.8867235!4d143.1929046!16s%2Fg%2F11s7rm16yh",,https://geopark.jp/geopark/shirataki/
2,とかち鹿追,北海道,43.197229,143.0253883,日本ジオパーク,"https://www.google.com/maps/search/%E3%81%A8%E3%81%8B%E3%81%A1%E9%B9%BF%E8%BF%BD/@43.2497048,142.995528,10.83z",,https://geopark.jp/geopark/tokachi-shikaoi/
3,十勝岳,北海道,43.41793675,142.6862211,日本ジオパーク,"https://www.google.com/maps/place/%E5%8D%81%E5%8B%9D%E5%B2%B3/@43.418155,142.6774663,15z/data=!4m6!3m5!1s0x5f733415bf36796d:0xe761b589874b2913!8m2!3d43.4180311!4d142.686264!16zL20vMDl5ZHd4",,https://geopark.jp/geopark/tokachidake/
4,三笠,北海道,43.26208716,141.9419129,日本ジオパーク,"https://www.google.com/maps/search/%E4%B8%89%E7%AC%A0%E3%82%B8%E3%82%AA%E3%83%91%E3%83%BC%E3%82%AF/@43.2593932,141.9268312,14.27z",,https://geopark.jp/geopark/mikasa/
5,下北,青森,41.34688086,141.0128551,日本ジオパーク,"https://www.google.com/maps/search/%E4%B8%8B%E5%8C%97%E3%82%B8%E3%82%AA%E3%83%91%E3%83%BC%E3%82%AF/@41.2818197,140.9630838,11.52z",,https://geopark.jp/geopark/shimokita/
6,三陸,青森、岩手、宮城,39.64479199,141.9449726,日本ジオパーク,"https://www.google.com/maps/search/%E4%B8%89%E9%99%B8%E6%B5%B7%E5%B2%B8/@39.7363845,140.1502579,8z/data=!3m1!4b1",,https://geopark.jp/geopark/sanriku/
7,八峰白神,秋田,40.45557262,140.1638479,日本ジオパーク,"https://www.google.com/maps/search/%E7%99%BD%E7%A5%9E%E5%B1%B1%E5%9C%B0/@40.4142708,140.1273965,11.73z",,https://geopark.jp/geopark/happou/
8,男鹿半島・大潟,秋田,39.95658455,139.8838918,日本ジオパーク,"https://www.google.com/maps/search/%E7%94%B7%E9%B9%BF%E3%83%BB%E5%A4%A7%E6%BD%9F/@39.8932522,139.863093,11.17z",,https://geopark.jp/geopark/chokaitobishima/
9,鳥海山・飛鳥,山形、秋田,39.19316531,140.0115215,日本ジオパーク,"https://www.google.com/maps/place/%E9%B3%A5%E6%B5%B7%E5%B1%B1%E3%83%BB%E9%A3%9B%E5%B3%B6%E3%82%B8%E3%82%AA%E3%83%91%E3%83%BC%E3%82%AF%E6%8E%A8%E9%80%B2%E5%8D%94%E8%AD%B0%E4%BC%9A+%E4%BA%8B%E5%8B%99%E5%B1%80/@39.1615322,139.9798767,12.12z/data=!4m6!3m5!1s0x5f8e5f928f1aadd9:0x6ddbdef8de651b2c!8m2!3d39.2191508!4d139.8998454!16s%2Fg%2F11bx1rz9x1",,https://geopark.jp/geopark/chokaitobishima/
10,ゆざわ,秋田,39.16411868,140.4956783,日本ジオパーク,"https://www.google.com/maps/place/%E6%B9%AF%E6%B2%A2%E5%B8%82%E3%82%B8%E3%82%AA%E3%83%91%E3%83%BC%E3%82%AF%E6%8E%A8%E9%80%B2%E5%8D%94%E8%AD%B0%E4%BC%9A/@39.1656273,140.4783353,14.02z/data=!3m1!5s0x5f8ee02d88e51a85:0x9f28db740392878d!4m6!3m5!1s0x5f8ee02d88f4d9f9:0xd4500c60bfe158e7!8m2!3d39.1642985!4d140.4957046!16s%2Fg%2F11fz9jrw_2",,https://geopark.jp/geopark/yuzawa/
